,City,Country,Lat,Lng,Date,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
0,rikitea,PF,-23.12,-134.97,"06/25/19, 18:32:26",5,86,71.71,11.99
1,port elizabeth,US,39.31,-74.98,"06/25/19, 18:32:26",20,62,87.01,8.05
2,belorechensk,RU,44.77,39.87,"06/25/19, 18:32:26",0,51,82.4,8.95
3,bartica,GY,6.41,-58.62,"06/25/19, 18:32:26",75,66,87.8,13.87
4,nikolskoye,RU,59.7,30.79,"06/25/19, 18:32:26",0,39,66.2,6.71
5,ponta do sol,BR,-20.63,-46.0,"06/25/19, 18:32:27",38,51,75.31,6.96
6,shangzhi,CN,45.21,127.96,"06/25/19, 18:32:27",100,78,67.03,10.96
7,dongsheng,CN,29.72,112.52,"06/25/19, 18:32:27",0,85,72.79,2.51
8,hithadhoo,MV,-0.6,73.08,"06/25/19, 18:32:27",56,67,84.85,3.62
9,mahebourg,MU,-20.41,57.7,"06/25/19, 18:32:27",75,78,75.2,14.99
10,yar-sale,RU,66.83,70.83,"06/25/19, 18:27:35",82,68,42.55,8.88
11,avarua,CK,-21.21,-159.78,"06/25/19, 18:32:27",100,73,73.4,5.82
12,bredasdorp,ZA,-34.53,20.04,"06/25/19, 18:32:28",97,82,59.0,12.75
13,port alfred,ZA,-33.59,26.89,"06/25/19, 18:32:28",99,94,57.99,8.99
14,ahipara,NZ,-35.17,173.16,"06/25/19, 18:32:28",33,78,57.49,14.43
15,arman,RU,59.7,150.17,"06/25/19, 18:32:28",92,78,42.91,3.33
16,chuy,UY,-33.69,-53.46,"06/25/19, 18:32:28",100,73,52.27,21.47
17,nanortalik,GL,60.14,-45.24,"06/25/19, 18:32:28",90,90,41.29,4.12
18,mataura,NZ,-46.19,168.86,"06/25/19, 18:32:29",33,83,44.01,5.01
19,saint-philippe,CA,45.36,-73.48,"06/25/19, 18:32:29",90,93,68.0,9.17
20,northam,GB,51.04,-4.21,"06/25/19, 18:32:29",40,77,71.01,10.29
21,cape town,ZA,-33.93,18.42,"06/25/19, 18:30:01",0,71,59.0,11.41
22,kapaa,US,22.08,-159.32,"06/25/19, 18:29:14",75,83,80.6,8.05
23,ust-kuyga,RU,70.0,135.55,"06/25/19, 18:29:38",56,58,66.31,1.86
